date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:57	1801/1801	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jan%202021%2017:20:55%20GMT	https://gict.world/robots.txt		(from )
19:20:57	17155/17155	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2017:20:55%20GMT	https://gict.world/	D:/Websites/gict.world.1/gict.world.1/gict.world/index.html	(from )
19:20:58	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	D:/Websites/gict.world.1/gict.world.1/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://gict.world/)
19:20:58	30966/30966	---M--	200	added ('OK')	text/css	etag:%2210e1b6a-78f6-57131b72bf200%22	https://gict.world/asset/css/src/font-awesome.min.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/font-awesome.min.css	(from https://gict.world/)
19:20:58	1307/1307	---M--	200	added ('OK')	text/css	etag:%2210e1b6b-51b-56a45a6b94280%22	https://gict.world/asset/css/src/slick.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/slick.css	(from https://gict.world/)
19:20:58	6951/6951	---M--	200	added ('OK')	text/css	etag:%2210e1b6f-1b27-56a45a67c3980%22	https://gict.world/asset/css/src/magnific-popup.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/magnific-popup.css	(from https://gict.world/)
19:20:59	70815/70815	---M--	200	added ('OK')	text/css	etag:%2210e1b6e-1149f-57131b72bf200%22	https://gict.world/asset/css/src/material-design-iconic-font.min.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/material-design-iconic-font.min.css	(from https://gict.world/)
19:20:59	70824/70824	---M--	200	added ('OK')	text/css	etag:%2210e1b6d-114a8-56a45a67c3980%22	https://gict.world/asset/css/src/animate.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/animate.css	(from https://gict.world/)
19:20:59	3433/3433	---M--	200	added ('OK')	text/css	etag:%2210e1b70-d69-5714053e649c0%22	https://gict.world/asset/css/src/meanmenu.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/meanmenu.css	(from https://gict.world/)
19:20:59	4652/4652	---M--	200	added ('OK')	text/css	etag:%2210e1b71-122c-5747b4bea50c0%22	https://gict.world/asset/css/src/owl.carousel.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/owl.carousel.css	(from https://gict.world/)
19:21:00	134/134	---M--	200	added ('OK')	text/css	etag:%2210e1b77-86-5748d7e603bc0%22	https://gict.world/asset/css/layout/shortcodes.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/layout/shortcodes.css	(from https://gict.world/)
19:21:00	11040/11040	---M--	200	added ('OK')	text/css	etag:%2210e1b6c-2b20-5751b5bd7f640%22	https://gict.world/asset/css/src/responsive.css	D:/Websites/gict.world.1/gict.world.1/gict.world/asset/css/src/responsive.css	(from https://gict.world/)
19:21:00	177753/177753	---M--	200	added ('OK')	image/jpeg	etag:%2210e1538-2b659-575acde6c0880%22	https://gict.world/img/bg/logo_og_image.jpg	D:/Websites/gict.world.1/gict.world.1/gict.world/img/bg/logo_og_image.jpg	(from https://gict.world/)
19:21:00	120/120	---M--	200	added ('OK')	image/png	etag:%2210e1b36-78-525d2ca3e6580%22	https://gict.world/img/lang/EN.png	D:/Websites/gict.world.1/gict.world.1/gict.world/img/lang/EN.png	(from https://gict.world/)
19:21:01	19464/19464	---M-Z	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2017:20:59%20GMT	https://gict.world/ru	D:/Websites/gict.world.1/gict.world.1/gict.world/ru.html	(from https://gict.world/)
